                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.1213,                0.86916,                 1.2747,                 0.4411,                0.54304,                0.42935,                0.28297,                 1.2671,                 1.7363,                 1.3442,               0.003862,               0.003862,               0.003862
                     65,                 1.1206,                 0.8657,                 1.2708,                0.44026,                0.55778,                0.43026,                0.28388,                 1.2668,                 1.7354,                 1.3399,               0.003763,               0.003763,               0.003763
                     66,                 1.1134,                0.86381,                 1.2671,                0.44001,                0.55714,                0.42836,                0.28304,                 1.2659,                 1.7359,                 1.3399,               0.003664,               0.003664,               0.003664
                     67,                 1.1054,                0.85863,                 1.2709,                0.44337,                0.55659,                0.43086,                0.28444,                 1.2667,                 1.7134,                 1.3424,               0.003565,               0.003565,               0.003565
                     68,                 1.1185,                0.85939,                 1.2685,                0.44493,                0.55941,                0.43418,                0.28592,                 1.2733,                 1.7273,                 1.3451,               0.003466,               0.003466,               0.003466
                     69,                 1.1044,                0.85174,                 1.2639,                0.44201,                 0.5531,                0.42942,                0.28253,                 1.2667,                 1.7056,                 1.3433,               0.003367,               0.003367,               0.003367
                     70,                 1.0995,                0.83865,                 1.2612,                0.44603,                0.55091,                0.42437,                 0.2794,                 1.2666,                 1.7166,                 1.3411,               0.003268,               0.003268,               0.003268
                     71,                 1.1025,                0.84196,                 1.2622,                0.45288,                 0.5408,                0.42948,                0.28507,                 1.2692,                 1.7335,                 1.3438,               0.003169,               0.003169,               0.003169
                     72,                 1.1042,                0.83967,                 1.2592,                0.45012,                0.54878,                0.43273,                0.28613,                 1.2707,                 1.7174,                 1.3413,                0.00307,                0.00307,                0.00307
                     73,                  1.098,                0.83694,                 1.2573,                0.44484,                 0.5538,                0.42983,                0.28534,                 1.2719,                 1.7362,                 1.3415,               0.002971,               0.002971,               0.002971
                     74,                 1.0956,                0.82802,                 1.2542,                0.44443,                0.54789,                0.42439,                0.28114,                 1.2693,                 1.7503,                 1.3391,               0.002872,               0.002872,               0.002872
                     75,                 1.0935,                0.82876,                 1.2559,                0.43917,                0.55555,                0.42742,                0.28379,                 1.2625,                 1.7314,                 1.3354,               0.002773,               0.002773,               0.002773
                     76,                 1.0834,                0.82143,                 1.2505,                0.44104,                0.55143,                0.43015,                0.28583,                 1.2688,                  1.747,                 1.3387,               0.002674,               0.002674,               0.002674
                     77,                 1.0888,                0.81528,                 1.2475,                0.44881,                0.54613,                0.43045,                0.28533,                 1.2705,                  1.751,                 1.3389,               0.002575,               0.002575,               0.002575
                     78,                 1.0839,                0.81712,                 1.2481,                0.45172,                0.54655,                0.43425,                0.28582,                 1.2703,                 1.7379,                 1.3396,               0.002476,               0.002476,               0.002476
                     79,                 1.0777,                0.80665,                 1.2503,                 0.4466,                0.55239,                0.43892,                0.29012,                 1.2696,                 1.7175,                 1.3431,               0.002377,               0.002377,               0.002377
                     80,                  1.074,                0.80533,                 1.2431,                0.44316,                0.55446,                0.44004,                0.29299,                 1.2674,                 1.7214,                 1.3406,               0.002278,               0.002278,               0.002278
                     81,                 1.0762,                 0.8076,                 1.2434,                0.44542,                0.55206,                0.43916,                0.29116,                 1.2752,                 1.7439,                 1.3443,               0.002179,               0.002179,               0.002179
                     82,                 1.0708,                0.80029,                 1.2418,                0.45038,                0.54286,                0.43563,                0.28869,                 1.2731,                  1.752,                 1.3443,                0.00208,                0.00208,                0.00208
                     83,                 1.0711,                0.80573,                  1.244,                0.45176,                0.54544,                0.43507,                0.28854,                 1.2696,                 1.7493,                 1.3415,               0.001981,               0.001981,               0.001981
                     84,                 1.0607,                0.79403,                 1.2349,                0.44265,                0.55542,                0.43446,                0.28723,                 1.2745,                 1.7469,                 1.3436,               0.001882,               0.001882,               0.001882
                     85,                 1.0599,                0.78929,                 1.2357,                0.44276,                0.56224,                0.43201,                 0.2864,                 1.2753,                 1.7511,                 1.3442,               0.001783,               0.001783,               0.001783
                     86,                 1.0556,                0.77831,                 1.2302,                0.44605,                0.55351,                0.43255,                0.28678,                 1.2778,                 1.7569,                 1.3468,               0.001684,               0.001684,               0.001684
                     87,                 1.0594,                 0.7878,                 1.2281,                0.45195,                0.54664,                0.43915,                0.29168,                 1.2737,                 1.7354,                 1.3449,               0.001585,               0.001585,               0.001585
                     88,                 1.0517,                 0.7716,                 1.2341,                0.44825,                0.55771,                0.43799,                0.29029,                 1.2784,                 1.7423,                 1.3491,               0.001486,               0.001486,               0.001486
                     89,                  1.049,                0.77073,                 1.2236,                0.44739,                0.55974,                0.43734,                0.29054,                 1.2744,                 1.7432,                 1.3456,               0.001387,               0.001387,               0.001387
                     90,                 1.0515,                 0.7754,                 1.2218,                0.44731,                0.55719,                0.43772,                0.29092,                 1.2758,                 1.7459,                 1.3447,               0.001288,               0.001288,               0.001288
                     91,                  1.057,                0.69951,                  1.227,                0.44967,                0.55209,                0.43513,                0.28933,                 1.2741,                 1.7379,                 1.3448,               0.001189,               0.001189,               0.001189
                     92,                 1.0445,                0.67824,                 1.2211,                0.44724,                0.55879,                0.43495,                 0.2893,                 1.2752,                 1.7333,                 1.3462,                0.00109,                0.00109,                0.00109
                     93,                 1.0363,                0.66369,                 1.2145,                0.45971,                0.54342,                0.43602,                0.28945,                 1.2764,                 1.7402,                 1.3484,               0.000991,               0.000991,               0.000991
                     94,                  1.032,                0.66015,                 1.2121,                0.45301,                0.55379,                0.43719,                0.28997,                 1.2785,                 1.7411,                 1.3507,               0.000892,               0.000892,               0.000892
                     95,                 1.0261,                0.65585,                  1.209,                0.45328,                0.55502,                0.43708,                0.29011,                  1.279,                 1.7469,                  1.353,               0.000793,               0.000793,               0.000793
                     96,                 1.0209,                0.64899,                 1.2036,                0.45085,                 0.5596,                0.43738,                0.29001,                 1.2814,                  1.752,                 1.3568,               0.000694,               0.000694,               0.000694
                     97,                 1.0143,                0.64612,                 1.1987,                0.45363,                0.56122,                0.43785,                0.29029,                 1.2834,                 1.7521,                 1.3572,               0.000595,               0.000595,               0.000595
                     98,                 1.0104,                0.63862,                 1.1992,                0.45124,                0.56186,                0.43754,                0.29036,                 1.2846,                 1.7527,                 1.3577,               0.000496,               0.000496,               0.000496
                     99,                 1.0098,                0.63733,                 1.1961,                0.44944,                0.56263,                0.43688,                0.29006,                 1.2849,                 1.7565,                 1.3589,               0.000397,               0.000397,               0.000397
                    100,                 1.0088,                0.63665,                 1.1959,                0.45309,                0.55533,                0.43699,                0.28995,                 1.2848,                 1.7602,                 1.3593,               0.000298,               0.000298,               0.000298
