                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.2196,                0.97252,                 1.3045,                   0.77,                0.69809,                 0.7597,                0.45259,                 1.4497,                 1.1165,                 1.4417,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.2151,                0.97041,                 1.3035,                0.76615,                  0.705,                0.75779,                0.45252,                 1.4506,                 1.1169,                 1.4414,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.2027,                0.96466,                 1.2928,                0.76872,                0.69751,                0.75907,                0.45169,                 1.4503,                 1.1186,                 1.4406,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.2158,                0.96838,                 1.2965,                0.76771,                0.69836,                 0.7584,                0.44999,                  1.449,                 1.1217,                 1.4409,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.2054,                0.95547,                 1.2944,                 0.7692,                0.69927,                0.75872,                0.44925,                 1.4512,                 1.1167,                 1.4429,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.2031,                0.95033,                  1.292,                0.76162,                0.70261,                0.75826,                0.45056,                 1.4496,                 1.1165,                 1.4449,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.1999,                0.94422,                 1.2882,                0.77789,                0.69404,                0.75785,                0.44959,                 1.4533,                  1.122,                 1.4444,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.1964,                0.94734,                 1.2841,                0.77179,                0.68966,                0.75583,                0.44995,                 1.4546,                 1.1206,                  1.444,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.1774,                0.81216,                 1.2745,                0.76648,                0.69993,                0.75536,                  0.449,                 1.4549,                 1.1182,                 1.4467,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.1599,                 0.7838,                 1.2588,                0.76379,                0.70154,                0.75409,                 0.4496,                 1.4581,                 1.1221,                 1.4455,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.1478,                0.76643,                  1.253,                0.76287,                0.70044,                 0.7532,                0.44953,                 1.4538,                 1.1341,                 1.4463,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.1444,                0.76156,                 1.2511,                0.76775,                0.69984,                0.75324,                 0.4501,                  1.458,                 1.1268,                 1.4463,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.1402,                0.74982,                 1.2516,                0.76457,                 0.7021,                 0.7562,                0.45013,                 1.4582,                  1.132,                 1.4498,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.1286,                0.74365,                 1.2407,                0.75798,                0.70867,                0.75485,                0.44936,                 1.4576,                 1.1362,                 1.4479,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.1261,                0.74523,                 1.2422,                 0.7569,                0.71122,                0.75271,                0.44805,                 1.4597,                 1.1321,                 1.4507,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.1194,                0.73172,                 1.2355,                0.76237,                 0.7067,                0.75359,                0.44813,                 1.4609,                 1.1365,                 1.4528,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.1206,                0.72569,                 1.2375,                0.77172,                0.70085,                0.75443,                0.44812,                 1.4617,                 1.1345,                 1.4541,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.1145,                0.72972,                 1.2352,                0.78093,                0.69246,                0.75469,                0.44806,                 1.4625,                 1.1343,                 1.4549,             4.9677e-05,             4.9677e-05,             4.9677e-05
