                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.2996,                 1.0359,                  1.282,                 0.3924,                  0.458,                0.30954,                0.18245,                 1.4135,                 1.9943,                 1.4073,                0.00208,                0.00208,                0.00208
                     82,                 1.3088,                 1.0315,                 1.2857,                0.39553,                0.46198,                0.31106,                0.18277,                 1.4172,                 1.9729,                 1.4102,               0.001981,               0.001981,               0.001981
                     83,                 1.3037,                 1.0338,                  1.287,                0.40015,                0.44116,                0.30763,                0.18066,                 1.4228,                 2.0061,                  1.413,               0.001882,               0.001882,               0.001882
                     84,                 1.3027,                  1.021,                 1.2849,                0.40115,                0.44773,                0.30597,                0.17863,                 1.4286,                 2.0103,                 1.4216,               0.001783,               0.001783,               0.001783
                     85,                 1.2848,                 1.0163,                 1.2758,                0.39377,                0.46066,                0.30897,                0.18056,                 1.4257,                  2.008,                 1.4208,               0.001684,               0.001684,               0.001684
                     86,                 1.2872,                 1.0173,                 1.2783,                0.40457,                 0.4479,                0.30969,                0.18092,                 1.4279,                 2.0068,                 1.4242,               0.001585,               0.001585,               0.001585
                     87,                 1.2959,                 1.0061,                 1.2736,                0.39102,                0.45891,                0.30831,                0.18029,                 1.4321,                 2.0058,                 1.4273,               0.001486,               0.001486,               0.001486
                     88,                 1.2856,                 1.0054,                 1.2715,                0.39433,                0.45124,                0.30548,                0.17942,                 1.4302,                 2.0073,                 1.4236,               0.001387,               0.001387,               0.001387
                     89,                 1.2863,                0.99999,                 1.2753,                0.39284,                0.45759,                0.30457,                0.17868,                 1.4321,                  2.008,                 1.4254,               0.001288,               0.001288,               0.001288
                     90,                  1.277,                0.99037,                 1.2703,                0.39434,                 0.4596,                 0.3071,                0.18108,                 1.4297,                 2.0018,                 1.4237,               0.001189,               0.001189,               0.001189
                     91,                 1.2756,                0.92824,                 1.2675,                0.38812,                0.46285,                0.30408,                0.17813,                 1.4368,                 2.0061,                   1.43,                0.00109,                0.00109,                0.00109
                     92,                 1.2654,                0.90568,                 1.2628,                 0.3772,                0.46417,                0.29823,                0.17526,                 1.4468,                 2.0268,                 1.4401,               0.000991,               0.000991,               0.000991
                     93,                 1.2626,                0.89689,                 1.2632,                0.38319,                0.46044,                0.29948,                0.17578,                 1.4475,                 2.0266,                 1.4427,               0.000892,               0.000892,               0.000892
                     94,                 1.2516,                 0.8879,                  1.254,                0.38431,                0.45854,                0.29904,                0.17587,                 1.4493,                 2.0295,                 1.4465,               0.000793,               0.000793,               0.000793
                     95,                 1.2468,                0.87799,                 1.2491,                0.37796,                0.46307,                0.29817,                0.17379,                 1.4495,                 2.0276,                 1.4492,               0.000694,               0.000694,               0.000694
                     96,                 1.2514,                0.87556,                 1.2522,                0.37843,                0.46899,                0.29936,                0.17478,                 1.4497,                 2.0265,                 1.4503,               0.000595,               0.000595,               0.000595
                     97,                 1.2374,                0.86734,                 1.2457,                0.37946,                0.46717,                0.29958,                0.17468,                 1.4503,                 2.0293,                 1.4506,               0.000496,               0.000496,               0.000496
                     98,                 1.2342,                0.85688,                 1.2429,                0.38345,                0.46504,                0.29958,                0.17465,                 1.4499,                 2.0314,                 1.4495,               0.000397,               0.000397,               0.000397
                     99,                 1.2323,                0.85627,                 1.2389,                0.38208,                0.46439,                0.29956,                0.17451,                 1.4514,                 2.0412,                 1.4498,               0.000298,               0.000298,               0.000298
                    100,                 1.2306,                0.84997,                 1.2407,                0.38452,                0.46176,                0.30028,                0.17524,                 1.4518,                 2.0411,                 1.4495,               0.000199,               0.000199,               0.000199
